station,stationLabel,ibnr
http://www.wikidata.org/entity/Q927533,Gare de Lisieux,8700222
http://www.wikidata.org/entity/Q952091,Gare d'Angers-Saint-Laud,8700022
http://www.wikidata.org/entity/Q967312,Gare de Flers,8700217
http://www.wikidata.org/entity/Q801197,Montpellier-Saint-Roch railway station,8700097
http://www.wikidata.org/entity/Q801356,Gare de Reims,8700081
http://www.wikidata.org/entity/Q962179,Gare de Dieppe,8700085
http://www.wikidata.org/entity/Q977356,Cerbère railway station,8700147
http://www.wikidata.org/entity/Q801473,Strasbourg-Ville station,8700023
http://www.wikidata.org/entity/Q1825470,Gare de Chaumont,8700051
http://www.wikidata.org/entity/Q1811170,Gare de Briouze,8700216
http://www.wikidata.org/entity/Q1818259,Gare de Vitry-le-François,8700082
http://www.wikidata.org/entity/Q1826892,Gare de Noyon,8700247
http://www.wikidata.org/entity/Q1830641,Gare de Lannemezan,8700475
http://www.wikidata.org/entity/Q1836536,Dijon-Porte-Neuve railway station,8700429
http://www.wikidata.org/entity/Q1842714,Gare de Carentan,8700225
http://www.wikidata.org/entity/Q1846734,Gare de Puyoô,8700061
http://www.wikidata.org/entity/Q1867341,Gare de Vannes,8700205
http://www.wikidata.org/entity/Q1888691,Gare de Busigny,8700016
http://www.wikidata.org/entity/Q1876295,Tours railway station,8700161
http://www.wikidata.org/entity/Q2405585,Gare de Rodez,8700194
http://www.wikidata.org/entity/Q2446168,Gare de Tarbes,8700104
http://www.wikidata.org/entity/Q2456461,Gien railway station,8703395
http://www.wikidata.org/entity/Q2457571,Gare d'Auterive,8702725
http://www.wikidata.org/entity/Q2485783,Gare de Granville,8700306
http://www.wikidata.org/entity/Q2533987,Gare de Porté-Puymorens,8700496
http://www.wikidata.org/entity/Q2577090,Gare de Rochefort,8700203
http://www.wikidata.org/entity/Q2559978,Gare de Maubeuge,8700249
http://www.wikidata.org/entity/Q2541075,Gare de Meymac,8701641
http://www.wikidata.org/entity/Q2560767,Gare d'Ussel,8700098
http://www.wikidata.org/entity/Q2611740,Gare de Muret,8700473
http://www.wikidata.org/entity/Q2591311,Gare de Narbonne,8700073
http://www.wikidata.org/entity/Q2609166,Gare de Luchon,8703852
http://www.wikidata.org/entity/Q2611715,Gare d'Ax-les-Thermes,8700192
http://www.wikidata.org/entity/Q2784408,Gare de Tulle,8700204
http://www.wikidata.org/entity/Q2677692,Cherbourg railway station,8700227
http://www.wikidata.org/entity/Q2749411,Gare de Brive-la-Gaillarde,8700036
http://www.wikidata.org/entity/Q2749439,Gare de Nevers,8700399
http://www.wikidata.org/entity/Q2683553,Toulon station,8700108
http://www.wikidata.org/entity/Q2718010,Gare du Mans,8700435
http://www.wikidata.org/entity/Q2739444,Gare de Rosporden,8700500
http://www.wikidata.org/entity/Q2745699,Gare d'Albi-Madeleine,8702638
http://www.wikidata.org/entity/Q2786522,Gare de Poitiers,8700066
http://www.wikidata.org/entity/Q2868344,Gare d'Aulnoye-Aymeries,8700017
http://www.wikidata.org/entity/Q2949969,Gare de Souillac,8700497
http://www.wikidata.org/entity/Q3088372,Gare de Rouen-Rive-Droite,8700113
http://www.wikidata.org/entity/Q3055385,Gare de Roanne,8700094
http://www.wikidata.org/entity/Q3095634,Amiens railway station,8700001
http://www.wikidata.org/entity/Q3095666,Gare d'Argentan,8700215
http://www.wikidata.org/entity/Q2789845,Gare de Redon,8700083
http://www.wikidata.org/entity/Q2801649,Béziers railway station,8700064
http://www.wikidata.org/entity/Q138493,Ansbach,8000009
http://www.wikidata.org/entity/Q127089,Saarbrücken Central Station,8000323
http://www.wikidata.org/entity/Q1992,Gare de Lyon-Perrache,8700040
http://www.wikidata.org/entity/Q2008,Gare de Lyon-Part-Dieu,8700152
http://www.wikidata.org/entity/Q138888,Regensburg Central Station,8000309
http://www.wikidata.org/entity/Q135607,Essen Central Station,8000098
http://www.wikidata.org/entity/Q255951,Düsseldorf Central Station,8000085
